team;T.min.;ints;dur;gr_int;pos;neg
10;1;18;50;5;4;0
10;2;21;78;5;7;2
10;3;19;77;0;4;0
10;4;20;156;0;3;1
10;5;19;86;0;3;2
10;6;22;84;0;2;0
10;7;16;62;2;1;0
10;8;26;96;1;2;0
10;9;15;49;6;2;2
10;10;18;67;8;3;2
10;11;13;59;2;0;0
10;12;3;8;0;0;0
10;13;15;48;2;5;0
10;14;25;63;5;7;0
10;15;35;72;8;7;0
10;16;24;57;6;1;1
10;17;17;62;2;4;0
10;18;23;67;2;2;1
10;19;18;63;2;4;1
10;20;16;49;6;2;0
10;21;16;56;3;4;0
10;22;18;53;4;3;0
10;23;26;71;11;11;0
10;24;20;65;10;1;2
10;25;23;67;10;9;0
10;26;12;35;4;4;0
10;27;14;54;4;5;1
10;28;15;38;5;6;2
10;29;10;34;2;0;0
10;30;13;34;2;1;0
10;31;9;25;2;2;0
10;32;11;45;4;3;1
10;33;8;57;3;0;0
10;34;11;49;1;1;1
10;35;15;68;0;2;3
10;36;17;78;0;5;0
10;37;22;82;1;4;1
10;38;19;75;0;0;0
10;39;16;55;0;0;0
10;40;11;88;0;0;1
10;41;22;80;0;5;2
10;42;3;18;0;0;1
10;43;24;44;9;4;1
10;44;26;71;6;10;0
10;45;22;46;3;5;0
10;46;30;55;12;4;1
10;47;2;3;0;0;0
11;1;12;27;5;3;1
11;2;11;29;2;1;3
11;3;8;24;3;0;1
11;4;15;38;5;1;0
11;5;18;53;9;0;0
11;6;22;46;2;1;2
11;7;20;73;0;0;5
11;8;27;68;2;1;3
11;9;23;64;2;2;3
11;10;25;76;2;0;1
11;11;14;51;2;1;0
11;12;27;82;0;2;0
11;13;21;59;2;3;1
11;14;15;42;5;2;1
11;15;12;42;6;3;0
11;16;20;64;8;1;1
11;17;19;43;7;2;1
11;18;17;47;6;0;0
11;19;15;44;3;1;0
11;20;21;54;4;0;4
11;21;21;58;1;4;4
11;22;19;36;4;0;8
11;23;23;55;3;1;1
11;24;29;71;2;1;2
11;25;28;66;1;1;1
11;26;14;41;1;0;0
11;27;26;56;2;0;3
11;28;26;79;0;4;0
11;29;17;38;0;0;0
11;30;25;44;5;2;3
11;31;34;53;6;0;2
11;32;20;49;3;3;5
11;33;21;43;7;1;2
11;34;8;15;3;0;0
11;35;25;45;5;3;1
11;36;5;11;0;0;1
11;37;13;29;0;1;2
11;38;9;19;1;0;0
11;39;17;48;1;0;1
11;40;16;26;1;1;0
11;41;21;49;3;3;0
11;42;18;40;1;0;0
11;43;27;61;6;3;0
11;44;19;45;7;0;0
11;45;16;56;0;1;0
11;46;33;74;4;1;0
11;47;17;35;1;4;0
11;48;16;45;5;1;0
11;49;27;65;2;0;1
11;50;26;75;6;3;0
11;51;11;31;1;0;0
11;52;8;18;1;0;0
11;53;10;29;1;1;1
11;54;8;12;0;1;0
11;55;10;21;3;1;1
11;56;9;18;4;0;0
11;57;15;43;4;1;0
11;58;18;45;0;0;0
11;59;2;2;0;1;0
19;1;25;63;8;7;2
19;2;35;82;15;6;5
19;3;35;92;14;10;5
19;4;36;105;8;11;2
19;5;27;83;2;7;0
19;6;28;68;3;15;0
19;7;30;61;10;6;0
19;8;42;90;18;11;4
19;9;33;105;13;3;10
19;10;35;85;17;10;5
19;11;26;72;12;8;3
19;12;31;78;11;15;0
19;13;42;103;7;11;6
19;14;45;91;16;14;3
19;15;36;90;10;12;2
19;16;24;90;5;2;4
19;17;33;99;12;5;6
19;18;38;99;13;13;5
19;19;47;98;19;14;3
19;20;32;73;13;6;4
19;21;31;75;15;4;2
19;22;42;100;9;5;7
19;23;30;71;3;2;2
19;24;27;86;4;3;2
19;25;26;89;7;7;3
19;26;23;64;9;5;0
19;27;30;100;10;8;2
19;28;38;78;15;7;0
19;29;36;92;13;8;2
19;30;33;96;12;2;1
19;31;38;77;11;1;0
19;32;42;93;20;7;6
19;33;30;97;13;3;0
19;34;33;86;10;7;9
19;35;26;80;8;10;0
19;36;30;87;14;12;3
19;37;43;107;18;10;3
19;38;44;93;21;9;3
19;39;26;78;10;7;4
19;40;24;66;8;2;1
19;41;31;72;15;6;0
19;42;33;67;14;3;0
19;43;37;83;14;4;4
19;44;25;72;8;5;3
19;45;19;71;7;3;0
19;46;18;59;6;1;1
19;47;21;50;10;4;0
19;48;22;59;5;7;0
19;49;20;56;1;1;3
19;50;23;64;5;2;1
19;51;30;87;7;6;7
19;52;19;54;8;7;0
19;53;22;76;8;8;2
19;54;38;73;17;3;4
19;55;18;60;5;2;3
19;56;20;52;4;2;2
19;57;29;61;14;2;1
19;58;43;88;12;4;0
19;59;39;89;13;6;2
19;60;37;89;17;5;3
20;1;33;61;4;15;2
20;2;21;54;4;6;0
20;3;27;76;6;6;3
20;4;29;73;3;2;0
20;5;30;105;1;4;1
20;6;28;57;4;7;3
20;7;36;89;2;2;2
20;8;33;91;5;4;2
20;9;27;111;2;0;4
20;10;33;97;2;0;5
20;11;26;70;3;0;2
20;12;14;51;1;0;3
20;13;25;79;3;2;2
20;14;12;43;2;1;3
20;15;5;17;0;0;0
20;16;37;87;2;1;0
20;17;25;70;3;1;1
20;18;14;31;5;1;5
20;19;12;38;0;1;2
20;20;27;92;2;4;5
20;21;16;60;5;0;5
20;22;20;58;3;2;2
20;23;14;32;2;1;1
20;24;35;84;3;4;4
20;25;31;76;1;2;2
20;26;30;89;1;2;5
20;27;25;87;2;4;2
20;28;21;71;6;0;8
20;29;24;66;2;6;3
20;30;23;64;1;2;2
20;31;36;90;6;1;7
20;32;12;45;2;0;2
20;33;24;63;6;3;2
20;34;29;71;4;1;1
20;35;23;65;5;3;0
20;36;25;73;3;6;1
20;37;24;79;0;3;5
20;38;32;84;3;8;3
20;39;18;67;3;3;3
20;40;7;21;1;2;1
20;41;21;66;2;2;2
20;42;19;62;6;0;0
20;43;33;102;7;7;0
20;44;29;66;8;6;2
20;45;30;88;9;1;1
20;46;30;59;6;4;5
20;47;32;81;9;4;1
20;48;31;103;3;3;2
20;49;20;63;0;6;2
20;50;21;68;0;2;4
20;51;33;68;4;13;1
20;52;26;119;2;5;2
20;53;25;105;4;4;1
20;54;16;50;0;5;2
20;55;14;59;2;0;1
20;56;14;48;2;2;1
20;57;20;58;1;1;6
20;58;17;63;2;2;1
20;59;14;50;0;3;1
20;60;14;32;3;1;1
22;1;14;53;4;0;0
22;2;23;64;1;1;1
22;3;22;75;1;1;0
22;4;16;84;1;2;0
22;5;24;84;0;5;0
22;6;25;67;4;3;0
22;7;25;62;8;0;0
22;8;25;68;11;2;0
22;9;31;77;3;0;0
22;10;33;84;8;3;1
22;11;26;58;6;3;1
22;12;22;61;10;2;1
22;13;31;78;6;2;0
22;14;25;90;2;1;1
22;15;14;62;0;0;0
22;16;26;65;2;2;1
22;17;25;83;2;3;0
22;18;31;78;4;3;1
22;19;36;100;9;3;0
22;20;31;86;9;5;3
22;21;35;111;1;6;1
22;22;36;110;3;3;5
22;23;30;125;1;2;1
22;24;37;96;3;1;1
22;25;28;107;3;1;0
22;26;26;86;3;5;0
22;27;25;75;1;0;2
22;28;33;97;7;0;1
22;29;25;119;3;2;2
22;30;13;57;2;1;1
22;31;25;68;6;3;1
22;32;22;79;7;2;0
22;33;19;65;4;1;0
22;34;25;72;6;0;2
22;35;28;89;4;1;0
22;36;22;60;4;4;0
22;37;32;63;3;3;0
22;38;30;96;8;4;0
22;39;25;71;8;0;0
22;40;23;63;2;1;0
22;41;21;40;5;0;0
22;42;20;57;8;1;0
22;43;21;50;10;2;0
22;44;27;63;3;0;0
